Category,Keywords
Environment,park
Environment,playground
Environment,greenery
Environment,plants
Environment,leaves
Environment,flora
Environment,emission
Environment,release
Environment,outflow
Environment,radiation
Environment,effusion
Environment,issuance
Environment,pollutant
Environment,adulterant
Environment,contaminant
Environment,contamination
Environment,impurity
Housing,house
Housing,rent
Housing,accomodation
Housing,housing loans
Housing,house prices
Education,school
Education,curriculum
Education,education
Education,primary
Education,secondary
Education,upbringing
Education,senior secondary
Education,extra curricular
Education,academics
Education,academia
Health care,hospitals
Health care,medical
Health care,sick
Health care,unwell
Health care,vaccination
Health care,health care
Health care,physician
Health care,doctor
Entertainment,amusement
Entertainment,pleasur
Entertainment,leisure
Entertainment,relaxation
Entertainment,fun
Entertainment,enjoyment
Entertainment,interest
Entertainment,occupation
Entertainment,refreshment
Entertainment,restoration
Entertainment,distraction
Entertainment,diversion
Entertainment,divertissement
Entertainment,play
Entertainment,sport
Entertainment,show
Entertainment,performance
Entertainment,presentation
Entertainment,production
Entertainment,staging
Entertainment,spectacle
Entertainment,extravaganza
Entertainment,catering
Entertainment,food
